Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
DM,4/Jan/2024,Jan 2024,Digital Marketing,JCJC+,4,Jan,2024,23,34,Jakarta Utara,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Gyeongsang National University,Gyeongsang National University,High,,,,Bekerja diperusahaan logistik,Pekerja,High ,Karyawan,-,Bermain golf,,Karena Digital Marketing new skill dan perusahaan yang ada orang korea terrlalu capek jadi tidak bisa membagi antara kehidupan personal dan pekerjaan jadi ingin belajar hal-hal baru dan tentunya ingin menambah skill serta tertarik untuk kerja WFH,Refferal,Refferal,Website lengkap dan terkait silabusnya lengkap,Website lengkap dan terkait silabusnya lengkap,,Tertarik,Tidak,Tidak,Tidak,,
DS,5/Jan/2024,Jan 2024,Data Science,JCJC+,5,Jan,2024,25+,26,Yogyakarta, Yogyakarta, Yogyakarta,Yogyakarta,Indonesia,Universitas Negeri Yogyakarta (UNY),Universitas Negeri Yogyakarta (UNY),High,Pendidikan IPA,Pendidikan,-,Job Seeker,Job seeker,Low,Job Seeker,"Customer Service (bank Mega Syariah Yogyakarta selama 1,5 tahun) Marketing (Maybank Indonesia 1,2 tahun)",Dengerin Musik,,ingin switch career di Data Science karena melihat dari info loker saat ini banyak yang membutuhkan posisi data science dan melihat data science merupakan posisi yang terus berkembang dan dapat bekerja secara WFH sehingga membuat tertarik saya untuk belajar Data Science,Referral,Refferal,Harganya Affrodble dan sudah dapat testimoni real dari temennya,Harganya Affrodble dan sudah dapat testimoni real dari temennya,,Tertarik,,-,Pernah (UI UX di tahun 2023),,-
DS,5/Jan/2024,Jan 2024,Data Science,JCJC+,5,Jan,2024,25,30,Jakarta Selatan,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Negeri Jakarta (UNJ),Universitas Negeri Jakarta (UNJ),Middle,Teknologi Pendidikan,Teknologi Pendidikan,-,Bekerta,Pekerja,High,Assisten manajer LEarning Development (1 thn),-,Membaca & Badminton,,Suka berhubungan dengan mathematic dan mengikuti fenomena bahwa pekerjaan yang dicari adalah data science sehingga tertarik dan ingin switch career di data science kerena udah 8 tahun di dunia learnng development ,Instagram,Instagram,"Jadwalnya, fasilitas Job Connector","Jadwalnya, fasilitas Job Connector",,Tertarik,,-,Tidak,mengikuti bootcamp lain selain didibimbing,-
DS,8/Jan/2024,Jan 2024,Data Science,JCJC+,8,Jan,2024,25+,21,Jepang ,Jepang,Jepang,Jepang,Jepang,Institut Pertanian Bogor,Institut Pertanian Bogor (IPB),High,Peternakan,Peternakan,-,Kuliah,Mahasiswa,Low,Mahasiswa,Saat ini Research genetika di Jepang,Membaca dan Belajar,,Ingin switch career di Data Science karena saat ini untuk jurusan kuliah di peternakan dan kurang minat dan untuk saat ini minatnya lebih ke data science karena sebelumnya pernah mendapat akses belajar  gratis dari Tokopedia  dan progreid  (selama 3 bulan free) terkait introduction paiten dan machine learning waktu semester 2 dan merasa tertarik dengan pembelajaran tsb sehigga memutuskan untuk mengasah skill di data science serta ingin bekerja WFH karena melihat peluang career di Data Science ini banyak loker yang menyediakan WFH,Google ,Google Ads,Review di Goole paling bagus/tinggi dari platform lain,Review di Goole paling bagus/tinggi dari platform lain,,Tertarik,,-,Tidak,Pernah mendapat kesempatan belajar gratis waktu semester 2 kuliah dari Tokopedia  dan Progreid selama 3 bulan terkait dengan introduction paiten dan machine learning,-
DM,8/Jan/2024,Jan 2024,Digital Marketing,JCJC+,8,Jan,2024,23,24,Palu (Sulawesi Tengah), Palu, Palu,Sulawesi Tengah,Indonesia,STMIK Adhi Guna ,STMIK Adhi Guna ,Middle,,,-,Kerja menjaga toko,Pekerja,Low,Karyawan,-,Drakor,,Ingin mengasah skill karena saat ini juga mengikuti  bootcamp di platform lain (Purwadika) mengambil data scinece dan data analyst dan ternyata kesulitan sehingga mencoba yang digital marketing dan juga tertarik dengan penyaluran kerja,Instagram,Instagram,Waktunya (Weekend) dan harga affordable,Waktunya (Weekend) dan harga affordable,,Tertarik,Tidak,Tidak,Tidak,Mengikuti Bootcamp Data Science dan Data Analyst di Purwadika ,
DS,9/Jan/2024,Jan 2024,Data Science,JCJC+,9,Jan,2024,25,31,Jakarta ,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Negeri Padang,Universitas Negeri Padang,High,Teknik Elektro Industri,Teknik Elektro,-,Bekerja ,Pekerja,Middle,Bekerja (PT Sarana Instrumen jabatan Project Engineriing sejak tahun 2018),-,"Olahraga (sepak bola, badminton, basket)",,"Karena kedepannya teknologi terus berkembang dan sudah memiliki pengalaman di dunia engineering melihat prospek terkait data science yang basicnya teknologi sangat besar dan tidak akan ada matinya dan memang sudah tertarik dengan data science, data analyst, AI sehingga mencoba keluar zona nyaman sweetch career dengan mengikuti program di dibimbing",Instagram,Instagram,"Kualitasnya, CS nya informatif serta fast respon, alumninya banyak dan banyak bekerja sama dengan perusahaannya besar","Kualitasnya, CS nya informatif serta fast respon, alumninya banyak dan banyak bekerja sama dengan perusahaannya besar",,Tertarik,,-,Tidak,-,-
ML,9/Jan/2024,Jan 2024,AI Machine Learning,CAJC,9,Jan,2024,2,24,Yogyakarta, Yogyakarta, Yogyakarta,Yogyakarta,Indonesia,Universitas Lampung (UNILA),Universitas Lampung,High,Ilmu Komputer,Ilmu Komputer,Universitas Gadjah Mada (Jurusan Magister Kecerdasan Artifisial),Kuliah S2 dan Part Time di Department Jurusan sebagai Content Creator,Pekerja,Low,Mahasiswa,-,"Nonton, Main Game dan Travelling",,Saat S1 dengan Jurusan Ilmu komputer itu mengambil skripsian mengambil topik yang linier dengan machine learning lalu tertarik dan merasa lebih mudah daripada yang lain lalu lanjut S2 di UGM dengan jurusan kecerdasan Artifisial selain untuk menunjang terkait dibidang academik juga mendapat nasihat dari temen-temennya jika setelah lulus S1 HR banyak yang mempertanyakan terkait pengalaman botcamp lalu karena sekarang memiliki waktu luang dan memutuskan untuk mengikuti bootcamp serta tertarik dengan penyaluran kerjanya yang ada dibimbing dan ingin bekerja dibidang machine learning,Instagram,Instagram,Harga Affordable dan Job Connector,Harga Affordable dan Job Connector,,Tertarik,-,,Tidak,Pernah mengikuti magang sebagai data engineering selama 2 bulan  dan di S2 menyelesaikan project untuk mata kuliah deeplearning terkait machine learning serta pernah ikut minibootcamp di Rakaming tetapi tidak diselesaikan,
DS,9/Jan/2024,Jan 2024,Data Science,JCJC+,9,Jan,2024,25,24,Majalengka Jawa Barat, Majalengka, Majalengka,Jawa Barat,Indonesia,D4 Institut Teknologi Sepuluh Nopember (ITS),Institut Teknologi Sepuluh Nopember (ITS),High,Teknik Telekomunikasi,Teknik Telekomunikasi,-,Bekerja ,Pekerja,Middle,Bekerja di Telkom Property  sebagai teknisi Elektronika dan IT,Pernah bekerja di Bandara Kerta Jati ,Lari,,Sesuai perkataan orang-orang kalau data akan terus berkembang sehingga saat ini ingin upgrade diri terkait di data science dan tertarik dengan job connector ,Instagram,Instagram,Sudah terafiliasi dengan kampus merdeka dan program-program nya bagus dan trusted,Sudah terafiliasi dengan kampus merdeka dan program-program nya bagus dan trusted,,Tertarik,,-,Pernah (Mentor Talks di tahun 2021),Pernah mengikuti Bootcamp di tahun 2021 terkait data science tetapi masih belum mendalami ,-
DS,10/Jan/2024,Jan 2024,Data Science,JCJC+,10,Jan,2024,25+,22,Pematang Siantar (Sumatra Utara),Pematang Siantar,Pematang Siantar,Sumatera Utara,Indonesia,Universitas Sumatera Utara ,Universitas Sumatera Utara ,Middle,Agroteknologi,Agroteknologi,-,Fresh Graduate (Job Seeker),Fresh Graduate,Low,Job Seeker,-,"Mendengar Musik, Baca Webtoon dan Travelling",,Mengasah Skill sembari mencari kerja dan data science sekarang lagi on point lalu pengen coba supaya berguna untuk mencari pekerjaan dan ingin switch career,Instagram,Instagram,"Mentornya berpengalaman, Job Connector dan mitranya banyak","Mentornya berpengalaman, Job Connector dan mitranya banyak",,Tertarik,,-,Tidak,Baru mengikuti pelatihan design grafis,-
DS,10/Jan/2024,Jan 2024,Data Science,JCJC+,10,Jan,2024,25,34,Cikarang,Cikarang,Cikarang,Jawa Barat,Indonesia,Universitas Micro skill Medan,Universitas Micro skill Medan,Middle,IT (Information and Technology),Teknologi Informasi,-,Bekerja ,Pekerja,High,Bekerja di perusahaan Manufaktur Jepang sebagai IT (Programmer AI) selama 7 tahun,-,Membaca Komik,,"Untuk melengkapi tujuan tentang membuat aplikasi, komputer vision dan yang belum dipelajari terkait dengan data science",Telegram,Refferal,Harganya Affordable,Harganya Affordable,,Tertarik,,-,Tidak,Pernah mengikuti kursus Data Science,
FE,10/Jan/2024,Jan 2024,Web Development (FE),JCJC+,10,Jan,2024,17 +,22,Bogor, Bogor,Jabodetabek,Jawa Barat,Indonesia,Asia e University Malaysia dan Double Degree di Universitas Indonesia (Web Development),Asia e University ,High,information and communication technology,information and communication technology,-,Job Seeker,Job seeker,Low,Job Seeker,-,Suka menelurusi Web Development,,karena mengetahui kelemahan dirinya dibidang front end sehingga ingin mengasah kemampuan tersebut dengan mengikuti bootcamp dan untuk menambah ilmu serta  ingin mendapatkan pekerjaan,Tik Tok,TikTok,Reviewnya menarik,Reviewnya menarik,,Tertarik,Tidak,Tidak,Tidak,-,-
DM,10/Jan/2024,Jan 2024,Digital Marketing,JCJC+,10,Jan,2024,23,28,Balikpapan ,Bali,Bali,Bali,Indonesia,Universitas Telkom,Universitas Telkom (Tel-U),Middle,,,-,Bekerja di anak perusahaan PLN  (PLN Nusadaya) posisi IT Infrastruktur selama  lebih 4 tahun dan juga freelance pengadaan bahan konveksi seperti kaos dan content creator konten management ,Pekerja,Middle,Karyawan,-,Bilyard dan sepak bola,,Karena ingin mencari peluang bekerja di pulau jawa dan berharap dengan adanya job connector di dibimbing bisa mendapatkan pekerjaan dan dapat kembali ke Jawa lalu alasan berikutnya karena digital marketing adalah passionnya sehingga ingin mengembangkan skill tersebut serta merasa digital marketing bisa menjamin secara luas untuk kedepannya karena bisa dipandang sebagai peluang yang okee dan bisa menambah wawasan dengan digital marketing,Refferal (Pradipta Bagoes),Refferal,"Silabusnya lengkap, Job Connector dan harga affordable","Silabusnya lengkap, Job Connector dan harga affordable",,Tertarik,Tidak,Tidak,Tidak,Pernah mengikuti seminar Kominfo terkait digital margeting,
UIUX,11/Jan/2024,Jan 2024,UI/UX,JCJC+,11,Jan,2024,24,32,Jepang sudah selama 2 tahun (asli dai Lombok NTB),Jepang,Jepang,Jepang,Jepang,SMA Negeri 1 Praya Timur (Lombok),SMA,Low,SMA,SMA,-,Bekerja,Pekerja,Low,Asisten/Pembantu Perawat,-,Memancing,,Ingin belajar terkait UI UX dan karena sebelumnya suka design sehingga ingin menambah pengetahuan terkait UI UX,Google,Google Ads,Harga affordable dan silabusnya lengkap,Harga affordable dan silabusnya lengkap,,Tertarik,,Tidak,Tidak,-,
BI,11/Jan/2024,Jan 2024,Business Intelligence,CAJC,11,Jan,2024,9,23,Yogyakarta, Yogyakarta, Yogyakarta,Yogyakarta,Indonesia,Universitas Ahmad Dahlan ,Universitas Ahmad Dahlan,Middle,Sistem Informasi,Sistem Informasi,-,Fresh Graduate (Job Seeker) dan memiliki pekerjaan kontrak mahasiswa di lembaga Sertifikasi profesi di Universitas Ahmad Dahlan,Fresh Graduate,Low,Fresh Graduate (Job Seeker),memiliki pekerjaan kontrak mahasiswa di lembaga Sertifikasi profesi di Universitas Ahmad Dahlan,"Catur, Memasak, dan Travelling",,Ingin melebarkan sayap di dunia data dan ingin meluaskan pengalamannya karena sebelumnya berkarir di biding UI/UX dan ingin mendapat value career yang lebih lalu belajar terkait bussiness intelegence,Kaka Tingkat (refferal) dan Instagram Ads,Meta Ads,"Mengajari student dari 0, kurikulum sesuai dengan industri saat ini dan Job Connector serta silabusnya","Mengajari student dari 0, kurikulum sesuai dengan industri saat ini dan Job Connector serta silabusnya",,Tertarik,Tidak,Tidak,Pernah (Mentor talks terkait Bussiness Intelegence di bulan Januari 2024),-,-
ML,11/Jan/2024,Jan 2024,AI Machine Learning,CAJC,11,Jan,2024,2,26,Karawang (Jawa Barat), Karawang, Karawang,Jawa Barat,Indonesia,SMK 1 Karawang,SMK,Low,SMK,SMK,-,Bekerja (PT Mitra Jaya Utama sebagai admin),Pekerja,Middle,Karyawan ,-,Belajar terkait IT,,Karena pernah belajar Data Science di Rakaming Academy tetapi masih merasa kurang sehingga melihat di dibimbing lengkap terkait materinya lalu mendaftar Bootcamp dan tentunya ingin mempelajari lebih dalam terkait dengan Machine Learning di dibimbing,Refferal,Refferal,Harga Affordable dan Silabusnya lengkap (ada materi yang membuat penasaran),Harga Affordable dan Silabusnya lengkap (ada materi yang membuat penasaran),,-,-,,Pernah (Digital Skill Fair pada November 2023),Pernah mengikuti Bootcamp di Rakaming Academy terkait data Science,
DM,11/Jan/2024,Jan 2024,Digital Marketing,JCJC+,11,Jan,2024,23+,22,Bandung , Bandung, Bandung,Jawa Barat,Indonesia,Universitas Pendidikan Indonesia (UPI),Universitas Pendidikan Indonesia (UPI),Middle,,,-,Bekerja (sebagai mentor/pengajar bahasa germany),Pekerja,Middle,Pengajar,-,Seneng Ngajar,,Karena baru lulus dan melihat peluang pekerjaan di Digital Marketing luas membuat ingin terjun ke dunia digital sehingga mengikuti bootcamp,Pegawai Dibimbing (Ka Fadil) dan Instagram,Instagram,"Pernah mengikuti digital skill fair melihat mentor nya enak menjelaskannya, lingkungannya nyaman dan materinya sampai/lengkap","Pernah mengikuti digital skill fair melihat mentor nya enak menjelaskannya, lingkungannya nyaman dan materinya sampai/lengkap",,Tertarik,Tidak,Tidak,Pernah(Digital Skill Fair sebanyak 2x),Pernah mengikuti mini bootcamp di My Skill terkait digital marketing,-
DM,11/Jan/2024,Jan 2024,Digital Marketing,JCJC+,11,Jan,2024,23,23,Jakarta karena resign lalu kembali ke Bangka Belitung,Bali,Bali,Bali,Indonesia,Universitas Persada Indonesia (YAI),Universitas Persada Indonesia Y.A.I,Middle,,,-,Mau mengikuti Bootcamp di dibimbing (karena baru saja resign dari perbankan),Job seeker,Low,Job seeker,Bekerja diperbankan (baru saja resign beberapa minggu yang lalu),"Olahraga (renang, ikut kelas aerobik)",,Karena sebelumnya diperbankan dan kurang cocok dengan industrinya lalu melihat sekarang itu kebanyakan hybrid (WFH) dan digital marketing itu luas sehingga tertarik mempelajari digital marketing serta bassicnya suka membuat content dan masih ragu untuk post karyanya sehingga ingin mengasah kemampuan tersebut,Teman pada saat Nailart dan Tik Tok,TikTok,Mendapat testimoni dari temen jika fasilitas yang disediakan Dibimbing okee dan materinya lengkap,Mendapat testimoni dari temen jika fasilitas yang disediakan Dibimbing okee dan materinya lengkap,,tertarik,Tidak,Tidak,Tidak,Tidak pernah mengikuti bootcamp,-
DS,12/Jan/2024,Jan 2024,Data Science,JCJC+,12,Jan,2024,25,24,Lumajang, Lumajang, Lumajang,Jawa Timur,Indonesia,Institut Pertanian Bogor (ITB),Institut Pertanian Bogor (IPB),High,Fisika,Fisika,-,Fresh Graduate (Job Seeker),Fresh Graduate,Low,Job Seeker,Preparation AIRIS,Menyanyi,,Karena Bassicnya Fisika sudah belajar banyak data dan tertarik dan berkutik di commuter dan merasa passionnya di data science sehingga ingin memperdalan tentang data science serta tertarik dengan job connectornya ,Refferal,Refferal,Harganya Affordable,Harganya Affordable,,Tertarik,,-,Tidak,Mengikuti Virtual Internship di KALBE collab dengan Rakaming Academy dan pernah mengikuti ASEAN Data Science (hanya 1 hari),-
